id_producto,producto,precio,cantidad
1,Producto_ 1,456.88,9
2,Producto_2,372.31,76
3,Producto_3,297.21,98
4,Producto_4,312.75,16
5,Producto_ 5,114.99,31
6,Producto_6,33.61,86
7,Producto_7,219.45,100
8,Producto_8,207.66,41
9,Producto_9,442.32,59
10,Producto_10,296.82,84
11,Producto_11,487.07,39
12,Producto_12,364.71,33
13,Producto_ 13,298.73,31
14,Producto_14,38.87,38
15,Producto_15,234.62,31
16,Producto_16,288.58,31
17,Producto_17,171.37,42
"18",Producto_18,261.73,44
19,Producto_19,435.93,27
20,Producto_20,33.24,38
21,Producto_21,465.0,44
22,Producto_22,330.79,44
23,Producto_23,211.28,30
24,Producto_24,18.23,55
25,Producto_25,272.62,16
26,Producto_26,482.95,77
27,Producto_27,469.93,46
28,Producto_28,213.48,61
29,Producto_29,337.59,21
"30",Producto_30,"489.08","53"
31,Producto_31,63.91,71
32,Producto_32,203.14,58
33,Producto_33,418.73,18
34,Producto_34,328.21,37
35,Producto_35,305.2,"54"
36,Producto_36,191.62,97
37,Producto_37,262.59,57
38,Producto_38,140.76,96
39,Producto_39,310.36,15
40,Producto_40,325.41,97
41,Producto_41,"232.25",17
42,Producto_42,239.38,31
43,Producto_43,313.22,52
44,Producto_44,253.45,88
45,Producto_45,153.92,76
46,Producto_46,272.17,89
47,Producto_47,294.9,35
48,Producto_48,137.75,53
49,Producto_49,465.35,22
50,Producto_50,134.71,63
51,Producto_51,417.99,98
52,Producto_52,36.29,62
53,Producto_53,214.63,74
54,Producto_54,106.0,36
55,Producto_55,118.53,3
56,Producto_56,320.49,27
57,Producto_57,99.66,93
58,Producto_58,294.79,6
59,Producto_59,443.73,67
60,Producto_60,338.51,9
61,Producto_61,341.25,22
62,Producto_62,272.69,22
63,Producto_63,164.92,16
64,Producto_64,89.7,16
65,Producto_65,322.26,56
66,Producto_66,293.98,73
67,Producto_67,142.66,84
68,Producto_68,357.14,97
69,Producto_69,312.66,69
70,Producto_70,406.37,34
71,Producto_71,474.45,50
72,Producto_72,349.1,84
73,Producto_73,467.03,100
74,Producto_74,376.49,97
75,Producto_75,314.37,24
76,Producto_76,375.82,70
77,Producto_77,361.22,18
78,Producto_78,342.62,74
79,Producto_79,354.51,34
80,Producto_80,36.92,59
81,Producto_81,77.89,90
82,Producto_82,65.65,33
83,Producto_83,41.46,39
84,Producto_84,190.01,54
85,Producto_85,61.29,68
86,Producto_86,126.1,24
87,Producto_87,95.57,41
88,Producto_88,160.51,33
89,Producto_89,7.26,12
90,Producto_90,368.23,56
91,Producto_91,310.87,86
92,Producto_92,182.32,1
93,Producto_93,249.22,33
94,Producto_94,212.3,88
95,Producto_95,400.17,46
96,Producto_96,318.71,36
97,Producto_97,177.29,28
98,Producto_98,27.14,77
99,Producto_99,243.43,41
100,Producto_100,138.12,90
